"treeID","Z","TreeSpecies","coords.x1","coords.x2","DBH","Biomass"
13130,8.49,2,294463.625,6808257.875,12.2616859776054,35.0153261174725
13131,8.32,1,293894.875,6808257.625,10.1676441468476,29.892027276256
13132,17.64,1,293951.625,6808257.625,24.7333389386216,273.287664837972
13133,19.04,1,293960.125,6808257.625,28.0755828012548,369.93293831487
13134,15.18,1,293983.625,6808257.625,19.8474420836929,158.911014558133
13135,19.84,1,293991.125,6808257.625,30.2211064768445,439.261900381884
13136,19.3,1,294121.125,6808257.625,28.7522325456672,391.205490206828
13137,7.58,1,294788.875,6808257.625,9.321546778505,24.2668350969546
13138,7.93,1,294805.375,6808257.625,9.71906985576603,26.8122785646245
13139,11.92,1,293898.875,6808257.375,14.7201848935216,74.8839507621134
13140,14.83,1,293934.125,6808257.375,19.2338023901015,146.903520071937
13141,21.49,1,294107.625,6808257.375,35.3282747327075,624.815739002362
13142,13.57,2,294313.625,6808257.375,22.4493083978649,169.112834064839
13143,2.76,2,294538.125,6808257.375,4.156004530264,2.54472328428213
13144,5.61,2,293703.125,6808257.125,8.08158343940209,11.7503894588289
13145,20.1,1,293956.125,6808257.125,30.9609284387743,464.4108258096
13146,11.73,1,293969.125,6808257.125,14.4561551136026,71.5449025628698
13147,21.35,1,293996.125,6808257.125,34.8538029022065,606.456702924939
13148,17.5,1,294057.125,6808257.125,24.4243574905313,265.086635596678
13149,20.03,1,294091.875,6808257.125,30.7595686921872,457.50466115836
13150,18.69,1,294127.875,6808257.125,27.1940471921653,343.062401647541
13151,13,1,294140.875,6808257.125,16.2857243835704,96.6392064402556
13152,5.54,2,294217.875,6808257.125,7.98656474973178,11.4023774141788
13153,10.11,2,294241.125,6808257.125,14.9919950338953,59.7342142963053
13154,12.25,2,294428.875,6808257.125,19.2739814579652,115.078875396075
13155,6.98,2,294470.625,6808257.125,9.99048156920104,20.3536597054526
13156,2.04,3,294601.625,6808257.125,2.2509545443647,0.747652335167579
13157,5.14,3,294634.875,6808257.125,6.20879019845422,6.18839035291364
13158,2.62,2,294823.875,6808257.125,3.94008939746962,2.29245098029616
13159,9.45,2,293600.125,6808256.875,13.8359369639721,48.2843166197706
13160,12.3,1,293800.875,6808256.875,15.258095639055,81.9793052431646
13161,8.14,1,293816.625,6808256.875,9.95982638826889,28.4374939921741
13162,6.67,1,293889.875,6808256.875,8.30582834393848,18.5133727471897
13163,12.38,1,294426.375,6808256.875,15.373071374279,83.5471658545949
13164,14.46,1,293669.625,6808256.625,18.603768351025,135.13002118518
13165,12,1,293879.625,6808256.625,14.8323222575087,76.3306233674301
13166,21.7,1,294006.125,6808256.625,36.0560857560548,653.389368351642
13167,22.09,1,294027.875,6808256.625,37.4616328081179,709.930201357094
13168,9.39,1,294191.375,6808256.625,11.434908102679,39.8345991708678
13169,14.02,2,294288.125,6808256.625,23.6519261024077,192.331430200467
13170,12.81,2,294317.625,6808256.625,20.5620758670476,135.696739839489
13171,6.89,2,294514.125,6808256.625,9.86145475642885,19.6704695092561
13172,5.71,2,294591.875,6808256.625,8.21763765301509,12.2612743545062
13173,7.47,1,293676.875,6808256.375,9.19749780530632,23.5070941768751
13174,11.45,1,293809.375,6808256.375,14.0727808246802,66.8634042565204
13175,22.37,1,294031.875,6808256.375,38.5166396334951,753.491824883399
13176,14.76,2,294333.375,6808256.375,25.7875406113882,237.076357212273
13177,16.38,2,294338.625,6808256.375,31.3108914610639,371.530408091492
13178,5.9,2,294542.125,6808256.375,8.4772653671333,13.2779107765242
13179,9.52,2,293641.625,6808256.125,13.9554968169477,49.4006708939734
13180,13.63,2,293645.375,6808256.125,22.6057873617883,172.050634912168
13181,20.85,1,293857.375,6808256.125,33.2255600686443,545.130935178198
13182,8.71,1,293886.625,6808256.125,10.6228996070234,33.2489179406042
13183,19.65,1,294100.375,6808256.125,29.6941433459854,421.730662589671
13184,11.93,1,294298.625,6808256.125,14.7341703976278,75.063445920325
13185,9.89,2,294365.125,6808256.125,14.5993088206287,55.6803522929474
13186,13.48,2,294386.875,6808256.125,22.2167396904438,164.79313719465
13187,10.79,2,294479.875,6808256.125,16.25643298171,73.9497523950287
13188,6.59,2,294642.625,6808256.125,9.4355713058186,17.5235452960694
13189,8.69,3,293765.875,6808255.875,11.7454108567892,33.2155990898025
13190,9.84,1,293779.125,6808255.875,11.9866056542567,44.7607309014127
13191,20.03,1,294013.875,6808255.875,30.7595686921872,457.50466115836
13192,20.69,1,294082.375,6808255.875,32.7252920601853,526.829011164374
13193,11.05,1,294135.125,6808255.875,13.5363907526054,60.6415700861394
13194,2,2,294526.625,6808255.875,2.87558196860488,1.32611973354317
13195,8.93,2,294581.125,6808255.875,12.9686997153736,40.6485680344763
13196,11.43,2,293659.625,6808255.625,17.5239040961887,89.9899328508619
13197,9.84,1,293785.625,6808255.625,11.9866056542567,44.7607309014127
13198,9.31,1,293791.625,6808255.625,11.3380764214441,39.0081350628186
13199,9.19,1,293813.625,6808255.625,11.1935032575883,37.7951251946214
13200,20.13,1,294079.375,6808255.625,31.0477252767263,467.401760698882
13201,10.67,1,294185.375,6808255.625,13.0384232114094,55.2033094773488
13202,10.77,2,294324.375,6808255.625,16.2180859662311,73.492438184133
13203,16.44,1,293929.875,6808255.375,22.213984326978,210.186745030863
13204,17.56,1,293946.625,6808255.375,24.5562612254834,268.572059875737
13205,2.43,1,293628.125,6808255.125,3.37630708897248,3.21952883022465
13206,12.48,1,293905.375,6808255.125,15.5176627260225,85.544643229359
13207,13.81,1,293910.875,6808255.125,17.5403284006121,116.531945182631
13208,16.97,1,293940.625,6808255.125,23.2916863041995,236.12125343857
13209,21.64,1,294008.375,6808255.125,35.8461294512073,645.096082389356
13210,5.68,1,294698.875,6808255.125,7.21846630273206,13.4717581191713
13211,7.95,3,293616.625,6808254.875,10.3859100344475,23.9110683957382
13212,12.07,1,293833.375,6808254.875,14.9309209505014,77.6167387518271
13213,16.15,1,293936.375,6808254.875,21.6459542485265,197.163822465689
13214,19.5,1,294089.875,6808254.875,29.2859866686405,408.374322529353
13215,5.17,2,294381.125,6808254.875,7.48680579718923,9.68809945271061
13216,5.74,2,294465.625,6808254.875,8.25853013497063,12.4177456927228
13217,10.23,1,293781.875,6808254.625,12.475004093935,49.4356646545713
13218,20.7,1,293959.875,6808254.625,32.7562759587737,527.95495573513
13219,17.07,1,293985.125,6808254.625,23.5010484203305,241.344228056601
13220,19.76,1,293992.875,6808254.625,29.9978485378153,431.795251829779
13221,11.13,1,294137.375,6808254.625,13.6426408145726,61.8438447734189
13222,5.23,2,294447.375,6808254.625,7.5676076259089,9.9522697200674
13223,13.61,2,294491.375,6808254.625,22.5534991623981,171.066154410821
13224,9.16,2,294972.375,6808254.625,13.3478495879643,43.8874783349953
13225,9.07,2,295018.125,6808254.625,13.1986707969074,42.5947852425256
13226,5.94,2,293704.625,6808254.375,8.53212787138455,13.4998434820457
13227,9.91,1,293816.625,6808254.375,12.0735413670612,45.5711002751676
13228,8.67,1,293820.375,6808254.375,10.5758770508705,32.8912113087039
13229,8.38,1,294070.625,6808254.375,10.2372293635987,30.3898777387443
13230,11.48,2,294320.875,6808254.375,17.626377932178,91.3651730433737
